Fecha,Hora,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
10-12-2018,24:00,1.1,V,56,V,35,V,0.1,V,0.2,V
11-12-2018,24:00,,N,60,V,24,V,,N,,N
12-12-2018,24:00,0.4,V,67,V,24,V,0.2,V,0.2,V
13-12-2018,24:00,0.3,V,60,V,22,V,0.2,V,0.3,V
14-12-2018,24:00,,N,,N,,N,,N,,N
15-12-2018,24:00,0.4,V,77,V,39,V,0.2,V,0.7,V
16-12-2018,24:00,0.4,V,68,V,126,V,0.2,V,0.7,V
17-12-2018,24:00,0.4,V,59,V,112,V,0.2,V,1.1,V
18-12-2018,24:00,0.4,V,55,V,79,V,0.2,V,1,V
19-12-2018,24:00,0.3,V,67,V,68,V,0.2,V,0.7,V
20-12-2018,24:00,0.3,V,58,V,93,V,0.2,V,0.7,V
21-12-2018,24:00,0.3,V,70,V,42,V,0.2,V,0.7,V
22-12-2018,24:00,0.4,V,52,V,61,V,0.2,V,1.5,V
23-12-2018,24:00,0.3,V,63,V,110,V,0.2,V,0.7,V
24-12-2018,24:00,0.3,V,65,V,197,V,0.2,V,0.6,V
25-12-2018,24:00,0.3,V,,D,88,V,0.2,V,0.9,V
26-12-2018,24:00,0.4,V,,D,44,V,0.2,V,1,V
27-12-2018,24:00,0.3,V,,D,31,V,0.2,V,0.6,V
28-12-2018,24:00,0.3,V,76,V,39,V,0.2,V,0.6,V
29-12-2018,24:00,0.2,V,75,V,35,V,0.2,V,0.5,V
30-12-2018,24:00,0.3,V,66,V,35,V,0.2,V,0.6,V
31-12-2018,24:00,0.3,V,65,V,,D,0.2,V,0.8,V
