Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag
20-09-2016,24:00,72,V,0.2,V,0.2,V,0.4,V,5,V
21-09-2016,24:00,67,V,0.2,V,0.2,V,0.5,V,5,V
22-09-2016,24:00,57,V,0.2,V,0.2,V,0.4,V,4,V
23-09-2016,24:00,64,V,0.2,V,0.2,V,0.3,V,4,V
24-09-2016,24:00,59,V,0.2,V,0.2,V,0.3,V,4,V
25-09-2016,24:00,51,V,0.2,V,0.2,V,0.3,V,3,V
26-09-2016,24:00,59,V,0.2,V,0.2,V,0.4,V,5,V
27-09-2016,24:00,65,V,0.3,V,0.2,V,0.5,V,8,V
28-09-2016,24:00,78,V,0.3,V,0.2,V,0.7,V,12,V
29-09-2016,24:00,72,V,0.3,V,0.2,V,0.8,V,15,V
30-09-2016,24:00,80,V,0.3,V,0.2,V,0.5,V,8,V
01-10-2016,24:00,67,V,0.3,V,0.2,V,0.6,V,7,V
02-10-2016,24:00,75,V,0.2,V,0.2,V,0.4,V,7,V
03-10-2016,24:00,69,V,0.2,V,0.2,V,0.4,V,4,V
04-10-2016,24:00,70,V,0.3,V,0.2,V,0.6,V,6,V
05-10-2016,24:00,61,V,0.3,V,0.2,V,0.8,V,11,V
06-10-2016,24:00,50,V,0.5,V,0.2,V,1.2,V,11,V
07-10-2016,24:00,62,V,0.3,V,0.2,V,0.7,V,10,V
08-10-2016,24:00,59,V,0.3,V,0.2,V,0.5,V,8,V
09-10-2016,24:00,59,V,0.2,V,0.2,V,0.4,V,6,V
10-10-2016,24:00,,N,,N,,N,,N,5,V
11-10-2016,24:00,69,V,0.3,V,0.2,V,0.5,V,4,V
12-10-2016,24:00,53,V,0.2,V,0.2,V,0.5,V,2,V
13-10-2016,24:00,68,V,0.3,V,0.2,V,0.7,V,3,V
14-10-2016,24:00,63,V,0.3,V,0.2,V,0.8,V,3,V
15-10-2016,24:00,59,V,0.3,V,0.2,V,0.8,V,3,V
16-10-2016,24:00,62,V,0.3,V,0.2,V,0.9,V,2,V
17-10-2016,24:00,49,V,0.4,V,0.2,V,1.1,V,4,V
18-10-2016,24:00,63,V,0.3,V,0.2,V,0.6,V,5,V
19-10-2016,24:00,71,V,0.3,V,0.2,V,0.5,V,8,V
20-10-2016,24:00,44,V,0.3,V,0.2,V,0.9,V,7,V
21-10-2016,24:00,43,V,0.4,V,0.2,V,0.9,V,5,V
22-10-2016,24:00,44,V,0.4,V,0.2,V,1,V,4,V
23-10-2016,24:00,62,V,0.3,V,0.2,V,0.6,V,3,V
24-10-2016,24:00,65,V,0.4,V,0.2,V,0.5,V,3,V
25-10-2016,24:00,66,V,0.3,V,0.2,V,0.4,V,3,V
26-10-2016,24:00,71,V,0.3,V,0.2,V,0.3,V,3,V
27-10-2016,24:00,54,V,0.3,V,0.2,V,0.4,V,5,V
28-10-2016,24:00,35,V,0.6,V,0.2,V,0.8,V,12,V
29-10-2016,24:00,42,V,0.4,V,0.2,V,0.7,V,10,V
30-10-2016,24:00,57,V,0.4,V,0.2,V,0.6,V,10,V
31-10-2016,24:00,41,V,0.5,V,0.2,V,0.9,V,12,V
01-11-2016,24:00,51,V,0.3,V,0.2,V,0.3,V,12,V
02-11-2016,24:00,47,V,0.4,V,0.2,V,0.5,V,11,V
03-11-2016,24:00,46,V,0.5,V,0.2,V,0.9,V,9,V
04-11-2016,24:00,52,V,0.4,V,0.2,V,0.7,V,3,V
05-11-2016,24:00,53,V,0.5,V,0.2,V,0.9,V,3,V
06-11-2016,24:00,61,V,0.4,V,0.2,V,0.6,V,2,V
07-11-2016,24:00,,N,,N,,N,,N,,N
08-11-2016,24:00,,N,,N,,N,,N,,N
09-11-2016,24:00,,N,,N,,N,,N,,N
10-11-2016,24:00,,N,,N,,N,,N,5,V
11-11-2016,24:00,71,V,0.2,V,0.2,V,0.2,V,4,V
12-11-2016,24:00,85,V,0.3,V,0.2,V,0.2,V,5,V
13-11-2016,24:00,76,V,0.3,V,0.2,V,0.3,V,5,V
14-11-2016,24:00,70,V,0.3,V,0.2,V,0.3,V,6,V
15-11-2016,24:00,78,V,0.4,V,0.2,V,0.3,V,7,V
16-11-2016,24:00,86,V,0.4,V,0.2,V,0.3,V,7,V
17-11-2016,24:00,82,V,0.3,V,0.2,V,0.3,V,5,V
18-11-2016,24:00,84,V,0.4,V,0.2,V,0.4,V,6,V
19-11-2016,24:00,82,V,0.3,V,0.2,V,0.3,V,4,V
20-11-2016,24:00,61,V,0.2,V,0.2,V,0.3,V,3,V
21-11-2016,24:00,53,V,0.4,V,0.2,V,0.6,V,3,V
22-11-2016,24:00,68,V,0.3,V,0.2,V,0.4,V,3,V
23-11-2016,24:00,71,V,0.4,V,0.2,V,0.4,V,3,V
24-11-2016,24:00,58,V,0.6,V,0.2,V,0.8,V,3,V
25-11-2016,24:00,62,V,0.7,V,0.2,V,0.9,V,3,V
26-11-2016,24:00,73,V,0.4,V,0.2,V,0.4,V,2,V
27-11-2016,24:00,70,V,0.4,V,0.2,V,0.4,V,4,V
28-11-2016,24:00,55,V,0.6,V,0.2,V,0.7,V,5,V
29-11-2016,24:00,64,V,0.5,V,0.2,V,0.7,V,3,V
30-11-2016,24:00,61,V,0.5,V,0.2,V,0.7,V,3,V
01-12-2016,24:00,49,V,0.5,V,0.2,V,0.8,V,4,V
02-12-2016,24:00,45,V,0.5,V,0.2,V,0.6,V,3,V
03-12-2016,24:00,66,V,0.4,V,0.2,V,0.4,V,3,V
04-12-2016,24:00,82,V,0.4,V,0.2,V,0.4,V,4,V
05-12-2016,24:00,65,V,0.4,V,0.2,V,0.4,V,3,V
06-12-2016,24:00,65,V,0.2,V,0.2,V,0.2,V,3,V
07-12-2016,24:00,,N,,N,,N,,N,5,V
08-12-2016,24:00,57,V,0.5,V,0.2,V,0.6,V,6,V
09-12-2016,24:00,52,V,0.5,V,0.2,V,0.5,V,4,V
10-12-2016,24:00,56,V,0.4,V,0.2,V,0.5,V,6,V
11-12-2016,24:00,53,V,0.5,V,0.2,V,0.7,V,9,V
12-12-2016,24:00,57,V,0.3,V,0.2,V,0.3,V,6,V
13-12-2016,24:00,60,V,0.5,V,0.2,V,0.5,V,7,V
14-12-2016,24:00,63,V,0.4,V,0.2,V,2.1,V,6,V
15-12-2016,24:00,75,V,0.4,V,0.2,V,0.3,V,4,V
16-12-2016,24:00,77,V,0.4,V,0.2,V,0.2,V,4,V
17-12-2016,24:00,81,V,0.4,V,0.2,V,0.4,V,4,V
18-12-2016,24:00,78,V,0.4,V,0.2,V,0.2,V,4,V
19-12-2016,24:00,71,V,0.4,V,0.2,V,0.3,V,4,V
20-12-2016,24:00,72,V,0.4,V,0.2,V,0.3,V,4,V
21-12-2016,24:00,82,V,0.4,V,0.2,V,0.3,V,5,V
22-12-2016,24:00,58,V,0.5,V,0.2,V,0.3,V,8,V
23-12-2016,24:00,59,V,0.4,V,0.2,V,0.2,V,6,V
24-12-2016,24:00,66,V,0.4,V,0.2,V,0.2,V,7,V
25-12-2016,24:00,78,V,0.3,V,0.2,V,0.2,V,14,V
26-12-2016,24:00,72,V,0.3,V,0.2,V,0.2,V,8,V
27-12-2016,24:00,67,V,0.3,V,0.2,V,0.2,V,7,V
28-12-2016,24:00,55,V,0.3,V,0.2,V,0.2,V,6,V
29-12-2016,24:00,67,V,0.3,V,0.2,V,0.2,V,6,V
30-12-2016,24:00,66,V,0.3,V,0.2,V,0.2,V,7,V
31-12-2016,24:00,60,V,0.3,V,0.2,V,0.2,V,9,V
