Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
27-07-2011,24:00,63,V,,N,,N,,N,21,V
28-07-2011,24:00,72,V,,N,,N,,N,21,V
29-07-2011,24:00,70,V,,N,,N,,N,28,V
30-07-2011,24:00,78,V,,N,,N,,N,33,V
31-07-2011,24:00,75,V,,N,,N,,N,51,V
01-08-2011,24:00,58,V,0.3,V,3.9,V,0.1,V,16,V
02-08-2011,24:00,46,V,0.3,V,4.9,V,0.2,V,10,V
03-08-2011,24:00,55,V,0.3,V,3.4,V,0.1,V,18,V
04-08-2011,24:00,55,V,0.3,V,4.4,V,0.2,V,21,V
05-08-2011,24:00,41,V,0.3,V,3.5,V,0.1,V,21,V
06-08-2011,24:00,36,V,0.3,V,3,V,0.1,V,27,V
07-08-2011,24:00,38,V,0.3,V,3,V,0.1,V,13,V
08-08-2011,24:00,52,V,0.3,V,3.5,V,0.2,V,12,V
09-08-2011,24:00,68,V,0.3,V,3.2,V,0.3,V,22,V
10-08-2011,24:00,79,V,0.3,V,0.7,V,0.2,V,30,V
11-08-2011,24:00,80,V,0.3,V,0.7,V,0.2,V,29,V
12-08-2011,24:00,81,V,0.3,V,0.6,V,0.1,V,29,V
13-08-2011,24:00,63,V,0.3,V,0.4,V,0.1,V,26,V
14-08-2011,24:00,71,V,0.3,V,0.4,V,0.1,V,28,V
15-08-2011,24:00,52,V,0.3,V,0.5,V,0.1,V,33,V
16-08-2011,24:00,51,V,0.3,V,0.7,V,0.1,V,26,V
17-08-2011,24:00,51,V,0.3,V,0.7,V,0.1,V,20,V
18-08-2011,24:00,62,V,0.3,V,0.4,V,0.1,V,12,V
19-08-2011,24:00,49,V,0.3,V,0.5,V,0.1,V,5,V
20-08-2011,24:00,66,V,0.3,V,0.3,V,0.1,V,8,V
21-08-2011,24:00,65,V,0.3,V,0.4,V,0.1,V,10,V
22-08-2011,24:00,58,V,0.3,V,0.4,V,0.1,V,15,V
23-08-2011,24:00,57,V,0.3,V,0.8,V,0.2,V,15,V
24-08-2011,24:00,65,V,0.2,V,1,V,0.2,V,23,V
25-08-2011,24:00,59,V,0.1,V,1,V,0.6,V,17,V
26-08-2011,24:00,49,V,0.1,V,1.2,V,0.7,V,13,V
27-08-2011,24:00,59,V,0.1,V,0.9,V,0.7,V,16,V
28-08-2011,24:00,59,V,0.1,V,0.8,V,0.6,V,16,V
29-08-2011,24:00,70,V,0.1,V,0.9,V,0.6,V,16,V
30-08-2011,24:00,74,V,0.2,V,1.1,V,0.7,V,13,V
31-08-2011,24:00,47,V,0.2,V,1.8,V,0.8,V,6,V
01-09-2011,24:00,45,V,0.3,V,2.5,V,1,V,7,V
02-09-2011,24:00,52,V,0.3,V,2.9,V,1.1,V,10,V
03-09-2011,24:00,59,V,0.2,V,1,V,0.6,V,8,V
04-09-2011,24:00,57,V,0.2,V,0.9,V,0.5,V,10,V
05-09-2011,24:00,62,V,0.2,V,0.9,V,0.6,V,26,V
06-09-2011,24:00,78,V,0.2,V,1.3,V,0.7,V,32,V
07-09-2011,24:00,55,V,0.5,V,5.3,V,1.8,V,40,V
08-09-2011,24:00,56,V,0.6,V,6.7,V,1.9,V,50,V
09-09-2011,24:00,72,V,0.3,V,2.9,V,1,V,37,V
10-09-2011,24:00,69,V,0.2,V,1.5,V,0.6,V,16,V
11-09-2011,24:00,41,V,,N,,N,,N,9,V
12-09-2011,24:00,56,V,,N,,N,,N,17,V
13-09-2011,24:00,63,V,,M,,M,,M,15,V
14-09-2011,24:00,57,V,0.2,V,1.1,V,0.6,V,12,V
15-09-2011,24:00,64,V,0.2,V,1.2,V,0.7,V,13,V
16-09-2011,24:00,66,V,0.2,V,1.1,V,0.7,V,7,V
17-09-2011,24:00,69,V,0.2,V,0.9,V,0.5,V,13,V
18-09-2011,24:00,73,V,0.2,V,0.9,V,0.5,V,18,V
19-09-2011,24:00,80,V,0.2,V,0.9,V,0.6,V,26,V
20-09-2011,24:00,81,V,0.2,V,1.3,V,0.7,V,23,V
21-09-2011,24:00,78,V,0.2,V,3.4,V,0.7,V,21,V
22-09-2011,24:00,84,V,0.2,V,2.7,V,0.6,V,30,V
23-09-2011,24:00,73,V,0.2,V,1.1,V,0.6,V,19,V
24-09-2011,24:00,67,V,0.2,V,1.1,V,0.6,V,11,V
25-09-2011,24:00,67,V,0.2,V,1.1,V,0.6,V,10,V
26-09-2011,24:00,70,V,0.2,V,1.1,V,0.6,V,7,V
27-09-2011,24:00,59,V,0.2,V,1.1,V,0.7,V,9,V
28-09-2011,24:00,68,V,0.2,V,1.3,V,0.6,V,20,V
29-09-2011,24:00,81,V,0.2,V,1.3,V,0.7,V,29,V
30-09-2011,24:00,78,V,0.3,V,1.3,V,0.9,V,26,V
01-10-2011,24:00,68,V,0.3,V,2.1,V,1,V,23,V
02-10-2011,24:00,53,V,0.2,V,0.8,V,0.5,V,17,V
03-10-2011,24:00,50,V,0.3,V,1.4,V,0.8,V,35,V
04-10-2011,24:00,55,V,0.3,V,1.6,V,0.8,V,36,V
05-10-2011,24:00,79,V,0.3,V,3.9,V,0.8,V,33,V
06-10-2011,24:00,93,V,0.2,V,1,V,0.6,V,33,V
07-10-2011,24:00,94,V,0.2,V,0.9,V,0.5,V,35,V
08-10-2011,24:00,70,V,0.2,V,1,V,0.6,V,29,V
09-10-2011,24:00,72,V,0.2,V,1.1,V,0.6,V,27,V
10-10-2011,24:00,82,V,0.3,V,1.2,V,0.6,V,33,V
11-10-2011,24:00,79,V,0.3,V,1.5,V,0.7,V,34,V
12-10-2011,24:00,75,V,0.2,V,0.9,V,0.5,V,30,V
13-10-2011,24:00,75,V,0.2,V,1.1,V,0.5,V,22,V
14-10-2011,24:00,81,V,0.2,V,1.1,V,0.5,V,28,V
15-10-2011,24:00,74,V,0.2,V,0.9,V,0.4,V,28,V
16-10-2011,24:00,77,V,0.2,V,0.8,V,0.5,V,22,V
17-10-2011,24:00,64,V,0.2,V,1,V,0.5,V,23,V
18-10-2011,24:00,67,V,0.2,V,1,V,0.5,V,22,V
19-10-2011,24:00,78,V,0.2,V,0.9,V,0.4,V,24,V
20-10-2011,24:00,94,V,0.2,V,0.9,V,0.4,V,25,V
21-10-2011,24:00,87,V,0.2,V,1.5,V,0.6,V,20,V
22-10-2011,24:00,75,V,0.2,V,1.3,V,0.6,V,9,V
23-10-2011,24:00,68,V,0.3,V,2,V,0.8,V,6,V
24-10-2011,24:00,65,V,0.3,V,1.7,V,0.7,V,11,V
25-10-2011,24:00,67,V,0.5,V,2.7,V,1,V,15,V
26-10-2011,24:00,60,V,0.5,V,3.5,V,1.5,V,10,V
27-10-2011,24:00,63,V,0.3,V,2.9,V,1.2,V,10,V
28-10-2011,24:00,88,V,0.3,V,3.6,V,1.2,V,18,V
29-10-2011,24:00,89,V,0.2,V,3.1,V,0.9,V,17,V
30-10-2011,24:00,93,V,0.2,V,3.2,V,1,V,18,V
31-10-2011,24:00,93,V,0.3,V,3.4,V,1.1,V,19,V
01-11-2011,24:00,88,V,0.2,V,3.4,V,1.1,V,14,V
02-11-2011,24:00,54,V,0.4,V,5.6,V,1.7,V,7,V
03-11-2011,24:00,60,V,0.5,V,5,V,1.8,V,11,V
04-11-2011,24:00,87,V,0.5,V,3.1,V,1.2,V,20,V
05-11-2011,24:00,88,V,0.3,V,2.2,V,1,V,16,V
06-11-2011,24:00,93,V,0.2,V,2,V,0.8,V,10,V
07-11-2011,24:00,89,V,0.3,V,2.1,V,0.9,V,12,V
08-11-2011,24:00,76,V,0.3,V,3,V,1.3,V,10,V
09-11-2011,24:00,66,V,0.3,V,4,V,1.4,V,5,V
10-11-2011,24:00,58,V,0.4,V,4.4,V,1.7,V,6,V
11-11-2011,24:00,57,V,0.5,V,4.2,V,1.7,V,18,V
12-11-2011,24:00,47,V,0.5,V,4.8,V,2.3,V,56,V
13-11-2011,24:00,72,V,0.3,V,2.2,V,1,V,14,V
14-11-2011,24:00,73,V,0.4,V,3.5,V,1.5,V,14,V
15-11-2011,24:00,85,V,0.3,V,2.5,V,1,V,12,V
16-11-2011,24:00,84,V,0.3,V,2.3,V,1,V,12,V
17-11-2011,24:00,77,V,0.3,V,2.6,V,1.1,V,6,V
18-11-2011,24:00,75,V,0.3,V,2.8,V,1.2,V,8,V
19-11-2011,24:00,76,V,0.4,V,3.3,V,1.5,V,9,V
20-11-2011,24:00,86,V,0.2,V,2.1,V,0.9,V,11,V
21-11-2011,24:00,84,V,0.3,V,2.3,V,0.9,V,17,V
22-11-2011,24:00,81,V,0.3,V,2.3,V,0.9,V,16,V
23-11-2011,24:00,79,V,0.3,V,2.6,V,1,V,12,V
24-11-2011,24:00,85,V,0.3,V,2.7,V,1.1,V,11,V
25-11-2011,24:00,82,V,0.3,V,2.3,V,1.1,V,17,V
26-11-2011,24:00,93,V,0.3,V,2.5,V,0.9,V,20,V
27-11-2011,24:00,92,V,0.3,V,2.3,V,0.9,V,18,V
28-11-2011,24:00,88,V,0.3,V,2.3,V,0.9,V,14,V
29-11-2011,24:00,91,V,0.3,V,2.4,V,1.5,V,10,V
30-11-2011,24:00,85,V,0.4,V,3.1,V,1.5,V,17,V
01-12-2011,24:00,76,V,0.4,V,2.5,V,1.3,V,27,V
02-12-2011,24:00,67,V,0.3,V,2.4,V,1,V,26,V
03-12-2011,24:00,87,V,0.3,V,2.2,V,0.8,V,17,V
04-12-2011,24:00,93,V,0.3,V,1.9,V,0.8,V,22,V
05-12-2011,24:00,90,V,0.3,V,2.1,V,0.9,V,50,V
