Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag
17-09-2014,24:00,68,V,0.2,V,0.4,V,14,V,0.2,V
18-09-2014,24:00,60,V,0.3,V,0.5,V,11,V,0.2,V
19-09-2014,24:00,70,V,0.2,V,0.3,V,9,V,0.2,V
20-09-2014,24:00,71,V,0.2,V,0.2,V,8,V,0.2,V
21-09-2014,24:00,71,V,0.2,V,0.2,V,6,V,0.2,V
22-09-2014,24:00,66,V,0.2,V,0.3,V,8,V,0.2,V
23-09-2014,24:00,60,V,0.2,V,0.3,V,6,V,0.2,V
24-09-2014,24:00,69,V,0.2,V,0.4,V,8,V,0.2,V
25-09-2014,24:00,72,V,0.2,V,0.3,V,18,V,0.2,V
26-09-2014,24:00,74,V,0.2,V,0.3,V,18,V,0.2,V
27-09-2014,24:00,66,V,0.2,V,0.2,V,16,V,0.2,V
28-09-2014,24:00,72,V,0.2,V,0.2,V,12,V,0.2,V
29-09-2014,24:00,74,V,0.2,V,0.2,V,21,V,0.2,V
30-09-2014,24:00,84,V,0.2,V,0.2,V,24,V,0.2,V
01-10-2014,24:00,78,V,0.2,V,0.3,V,23,V,0.2,V
02-10-2014,24:00,83,V,0.2,V,0.4,V,36,V,0.2,V
03-10-2014,24:00,70,V,0.3,V,0.5,V,39,V,0.2,V
04-10-2014,24:00,75,V,0.2,V,0.2,V,40,V,0.2,V
05-10-2014,24:00,84,V,0.2,V,0.2,V,35,V,0.2,V
06-10-2014,24:00,66,V,0.2,V,0.2,V,23,V,0.2,V
07-10-2014,24:00,55,V,0.2,V,0.2,V,13,V,0.2,V
08-10-2014,24:00,,N,,N,,N,13,V,,N
09-10-2014,24:00,50,V,0.3,V,0.2,V,11,V,0.2,V
10-10-2014,24:00,44,V,0.2,V,0.3,V,9,V,0.2,V
11-10-2014,24:00,56,V,0.3,V,0.3,V,12,V,0.2,V
12-10-2014,24:00,81,V,0.2,V,0.3,V,15,V,0.2,V
13-10-2014,24:00,80,V,0.3,V,0.3,V,17,V,0.2,V
14-10-2014,24:00,73,V,0.3,V,0.3,V,15,V,0.2,V
15-10-2014,24:00,59,V,0.2,V,0.3,V,9,V,0.2,V
16-10-2014,24:00,52,V,0.2,V,0.2,V,10,V,0.2,V
17-10-2014,24:00,56,V,0.4,V,4.2,V,15,V,0.2,V
18-10-2014,24:00,57,V,0.3,V,0.2,V,10,V,0.2,V
19-10-2014,24:00,49,V,0.3,V,0.2,V,18,V,0.2,V
20-10-2014,24:00,76,V,0.4,V,3.8,V,19,V,0.2,V
21-10-2014,24:00,60,V,0.3,V,0.4,V,36,V,0.2,V
22-10-2014,24:00,75,V,0.4,V,0.3,V,79,V,0.2,V
23-10-2014,24:00,65,V,0.8,V,1.8,V,76,V,0.2,V
24-10-2014,24:00,79,V,,N,,N,46,V,,N
25-10-2014,24:00,82,V,0.3,V,0.3,V,36,V,0.2,V
26-10-2014,24:00,77,V,0.3,V,0.2,V,26,V,0.2,V
27-10-2014,24:00,46,V,0.6,V,0.8,V,39,V,0.2,V
28-10-2014,24:00,71,V,0.4,V,0.9,V,35,V,0.2,V
29-10-2014,24:00,70,V,0.3,V,0.3,V,14,V,0.2,V
30-10-2014,24:00,74,V,0.2,V,0.2,V,10,V,0.2,V
31-10-2014,24:00,69,V,0.2,V,0.2,V,39,V,0.2,V
01-11-2014,24:00,80,V,0.2,V,0.2,V,41,V,0.2,V
02-11-2014,24:00,80,V,0.2,V,0.2,V,48,V,0.2,V
03-11-2014,24:00,83,V,0.3,V,0.3,V,40,V,0.2,V
04-11-2014,24:00,75,V,0.3,V,0.4,V,22,V,0.2,V
05-11-2014,24:00,84,V,0.2,V,0.2,V,24,V,0.2,V
06-11-2014,24:00,,N,,N,,N,,N,,N
07-11-2014,24:00,79,V,0.3,V,0.2,V,23,V,0.2,V
08-11-2014,24:00,74,V,0.2,V,0.2,V,21,V,0.2,V
09-11-2014,24:00,84,V,0.2,V,0.2,V,22,V,0.2,V
10-11-2014,24:00,82,V,0.3,V,0.2,V,25,V,0.2,V
11-11-2014,24:00,71,V,0.4,V,0.8,V,16,V,0.2,V
12-11-2014,24:00,61,V,0.3,V,0.5,V,14,V,0.2,V
13-11-2014,24:00,56,V,0.5,V,0.6,V,15,V,0.2,V
14-11-2014,24:00,63,V,0.5,V,3.2,V,14,V,0.2,V
15-11-2014,24:00,66,V,0.3,V,0.4,V,12,V,0.2,V
16-11-2014,24:00,85,V,0.2,V,0.2,V,16,V,0.2,V
17-11-2014,24:00,70,V,0.5,V,0.5,V,18,V,0.2,V
18-11-2014,24:00,53,V,0.4,V,0.6,V,15,V,0.2,V
19-11-2014,24:00,60,V,0.3,V,0.3,V,15,V,0.2,V
20-11-2014,24:00,75,V,0.4,V,0.4,V,13,V,0.2,V
21-11-2014,24:00,81,V,0.5,V,0.6,V,13,V,0.2,V
22-11-2014,24:00,91,V,0.3,V,0.3,V,17,V,0.2,V
23-11-2014,24:00,90,V,0.3,V,0.2,V,13,V,0.2,V
24-11-2014,24:00,94,V,0.3,V,0.2,V,22,V,0.2,V
25-11-2014,24:00,84,V,0.3,V,0.2,V,19,V,0.2,V
26-11-2014,24:00,79,V,0.3,V,0.8,V,17,V,0.2,V
27-11-2014,24:00,92,V,0.3,V,0.6,V,17,V,0.2,V
28-11-2014,24:00,87,V,0.3,V,0.2,V,24,V,0.2,V
29-11-2014,24:00,81,V,0.3,V,0.2,V,24,V,0.2,V
30-11-2014,24:00,84,V,0.3,V,0.2,V,18,V,0.2,V
01-12-2014,24:00,76,V,0.4,V,0.4,V,20,V,0.2,V
02-12-2014,24:00,79,V,0.5,V,0.3,V,29,V,0.2,V
03-12-2014,24:00,82,V,0.3,V,0.3,V,16,V,0.2,V
04-12-2014,24:00,83,V,0.3,V,0.3,V,19,V,0.2,V
05-12-2014,24:00,79,V,0.3,V,0.2,V,17,V,0.2,V
06-12-2014,24:00,83,V,0.3,V,0.2,V,13,V,0.2,V
07-12-2014,24:00,90,V,0.3,V,0.2,V,15,V,0.2,V
08-12-2014,24:00,91,V,0.4,V,0.2,V,33,V,0.2,V
09-12-2014,24:00,89,V,0.3,V,0.3,V,38,V,0.2,V
10-12-2014,24:00,86,V,0.3,V,0.3,V,35,V,0.2,V
11-12-2014,24:00,57,V,0.4,V,0.5,V,196,V,0.2,V
12-12-2014,24:00,58,V,0.8,V,1,V,280,V,0.2,V
13-12-2014,24:00,73,V,0.5,V,0.4,V,153,V,0.2,V
14-12-2014,24:00,82,V,0.3,V,0.2,V,19,V,0.2,V
15-12-2014,24:00,82,V,0.3,V,0.3,V,17,V,0.2,V
16-12-2014,24:00,81,V,0.3,V,0.3,V,17,V,0.2,V
17-12-2014,24:00,76,V,0.2,V,0.4,V,17,V,0.2,V
18-12-2014,24:00,73,V,0.4,V,0.4,V,28,V,0.2,V
19-12-2014,24:00,76,V,0.4,V,0.4,V,24,V,0.2,V
20-12-2014,24:00,88,V,0.3,V,0.3,V,24,V,0.2,V
21-12-2014,24:00,84,V,0.4,V,0.4,V,27,V,0.2,V
22-12-2014,24:00,72,V,0.3,V,0.3,V,73,V,0.2,V
23-12-2014,24:00,63,V,0.3,V,0.2,V,270,V,0.2,V
24-12-2014,24:00,75,V,0.2,V,0.2,V,127,V,0.2,V
25-12-2014,24:00,75,V,0.3,V,0.3,V,48,V,0.2,V
26-12-2014,24:00,84,V,0.4,V,0.3,V,36,V,0.2,V
27-12-2014,24:00,77,V,0.4,V,0.3,V,32,V,0.2,V
