Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
20-07-2017,24:00,,N,,N,,N,,N,,N
21-07-2017,24:00,,N,,N,,N,,N,,N
22-07-2017,24:00,1,V,1,V,1,V,0.3,V,3,V
23-07-2017,24:00,1,V,1,V,1,V,0.4,V,3,V
24-07-2017,24:00,,N,,N,,N,,N,,N
25-07-2017,24:00,,N,,N,,N,,N,,N
26-07-2017,24:00,,N,,N,,N,,N,,N
27-07-2017,24:00,,N,,N,1,V,0.4,V,,N
28-07-2017,24:00,,N,,N,2,V,0.2,V,,N
29-07-2017,24:00,2,V,7,V,2,V,0.2,V,11,V
30-07-2017,24:00,2,V,7,V,1,V,0.2,V,11,V
31-07-2017,24:00,3,V,6,V,1,V,0.2,V,11,V
01-08-2017,24:00,3,V,6,V,1,V,0.2,V,10,V
02-08-2017,24:00,3,V,7,V,1,V,0.2,V,12,V
03-08-2017,24:00,3,V,7,V,1,V,0.2,V,12,V
04-08-2017,24:00,4,V,7,V,1,V,0.2,V,13,V
05-08-2017,24:00,3,V,7,V,1,V,0.2,V,11,V
06-08-2017,24:00,5,V,11,V,2,V,0.2,V,18,V
07-08-2017,24:00,6,V,18,V,2,V,0.3,V,28,V
08-08-2017,24:00,3,V,12,V,2,V,0.2,V,17,V
09-08-2017,24:00,4,V,16,V,2,V,0.2,V,21,V
10-08-2017,24:00,4,V,10,V,2,V,0.2,V,16,V
11-08-2017,24:00,3,V,10,V,2,V,0.3,V,15,V
12-08-2017,24:00,2,V,9,V,1,V,0.2,V,11,V
13-08-2017,24:00,1,V,6,V,2,V,0.2,V,8,V
14-08-2017,24:00,3,V,13,V,1,V,0.2,V,17,V
15-08-2017,24:00,2,V,6,V,1,V,0.2,V,9,V
16-08-2017,24:00,3,V,9,V,1,V,0.2,V,13,V
17-08-2017,24:00,3,V,9,V,1,V,0.2,V,14,V
18-08-2017,24:00,3,V,7,V,1,V,0.2,V,12,V
19-08-2017,24:00,3,V,6,V,1,V,0.2,V,10,V
20-08-2017,24:00,2,V,6,V,1,V,0.2,V,10,V
21-08-2017,24:00,6,V,16,V,2,V,0.2,V,25,V
22-08-2017,24:00,5,V,15,V,1,V,0.2,V,22,V
23-08-2017,24:00,3,V,9,V,2,V,0.2,V,14,V
24-08-2017,24:00,,N,,N,,N,,N,,N
25-08-2017,24:00,4,V,21,V,2,V,0.4,V,27,V
26-08-2017,24:00,1,V,13,V,1,V,0.3,V,15,V
27-08-2017,24:00,1,V,6,V,1,V,0.3,V,7,V
28-08-2017,24:00,1,V,8,V,1,V,0.3,V,10,V
29-08-2017,24:00,1,V,7,V,1,V,0.3,V,9,V
30-08-2017,24:00,1,V,7,V,1,V,0.3,V,9,V
31-08-2017,24:00,1,V,7,V,1,V,0.3,V,9,V
01-09-2017,24:00,1,V,9,V,1,V,0.3,V,10,V
02-09-2017,24:00,1,V,8,V,1,V,0.3,V,9,V
