Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
20-10-2013,24:00,3,V,44,V,1.3,V,75,V,0,V
21-10-2013,24:00,3,V,336,V,0.9,V,73,V,0,V
22-10-2013,24:00,2,V,335,V,1.4,V,64,V,0,V
23-10-2013,24:00,2,V,44,V,1.5,V,72,V,0,V
24-10-2013,24:00,2,V,158,V,1.4,V,69,V,0,V
25-10-2013,24:00,3,V,334,V,2,V,58,V,0,V
26-10-2013,24:00,3,V,334,V,2.4,V,57,V,0,V
27-10-2013,24:00,2,V,334,V,3,V,57,V,0,V
28-10-2013,24:00,4,V,334,V,3.2,V,66,V,0,V
29-10-2013,24:00,6,V,22,V,4.8,V,71,V,0,V
30-10-2013,24:00,4,V,22,V,4.1,V,59,V,0,V
31-10-2013,24:00,4,V,22,V,4.4,V,54,V,0,V
01-11-2013,24:00,7,V,22,V,3.6,V,70,V,0,V
02-11-2013,24:00,7,V,22,V,2.5,V,74,V,0,V
03-11-2013,24:00,5,V,23,V,1.5,V,81,V,0.1,V
04-11-2013,24:00,8,V,22,V,2,V,78,V,0,V
05-11-2013,24:00,5,V,22,V,2.3,V,79,V,0,V
06-11-2013,24:00,3,V,23,V,2.3,V,73,V,0,V
07-11-2013,24:00,3,V,22,V,3.1,V,71,V,0,V
08-11-2013,24:00,3,V,22,V,3.2,V,72,V,0,V
09-11-2013,24:00,4,V,22,V,4.3,V,71,V,0,V
10-11-2013,24:00,5,V,22,V,3.6,V,69,V,0,V
11-11-2013,24:00,7,V,334,V,2.7,V,64,V,0,V
12-11-2013,24:00,4,V,22,V,2.7,V,59,V,0,V
13-11-2013,24:00,5,V,22,V,2.4,V,64,V,0,V
14-11-2013,24:00,5,V,22,V,2.9,V,68,V,0,V
15-11-2013,24:00,6,V,335,V,2.5,V,68,V,0,V
16-11-2013,24:00,6,V,22,V,3.3,V,60,V,0,V
17-11-2013,24:00,3,V,334,V,2.3,V,56,V,0,V
18-11-2013,24:00,3,V,335,V,3.3,V,55,V,0,V
19-11-2013,24:00,3,V,335,V,2.6,V,62,V,0,V
20-11-2013,24:00,2,V,335,V,1.8,V,64,V,0,V
21-11-2013,24:00,3,V,334,V,1.5,V,53,V,0,V
22-11-2013,24:00,2,V,335,V,1.9,V,62,V,0,V
23-11-2013,24:00,2,V,334,V,2.2,V,67,V,0,V
24-11-2013,24:00,1,V,334,V,3.3,V,68,V,0,V
25-11-2013,24:00,2,V,22,V,3.6,V,62,V,0,V
26-11-2013,24:00,10,V,23,V,2.4,V,50,V,0,V
27-11-2013,24:00,22,V,158,V,3,V,47,V,0,V
28-11-2013,24:00,11,V,158,V,3.6,V,58,V,0,V
29-11-2013,24:00,9,V,158,V,1.2,V,80,V,0,V
30-11-2013,24:00,6,V,7,V,0.7,V,76,V,0,V
01-12-2013,24:00,5,V,24,V,1.6,V,71,V,0,V
02-12-2013,24:00,3,V,158,V,1.9,V,70,V,0,V
03-12-2013,24:00,12,V,158,V,2.3,V,74,V,0,V
04-12-2013,24:00,6,V,158,V,1.9,V,72,V,0,V
05-12-2013,24:00,8,V,335,V,0.8,V,62,V,0,V
06-12-2013,24:00,7,V,158,V,2.4,V,64,V,0,V
07-12-2013,24:00,5,V,158,V,2,V,73,V,0,V
08-12-2013,24:00,4,V,158,V,1.8,V,60,V,0,V
09-12-2013,24:00,3,V,158,V,2.3,V,57,V,0,V
10-12-2013,24:00,17,V,158,V,4.9,V,49,V,0,V
11-12-2013,24:00,19,V,158,V,4.8,V,51,V,0,V
12-12-2013,24:00,22,V,157,V,4.5,V,54,V,0,V
13-12-2013,24:00,8,V,24,V,3.2,V,69,V,0,V
14-12-2013,24:00,11,V,23,V,3.9,V,71,V,0,V
15-12-2013,24:00,9,V,23,V,2.7,V,75,V,0,V
16-12-2013,24:00,10,V,23,V,1.8,V,64,V,0,V
17-12-2013,24:00,9,V,23,V,1.5,V,58,V,0,V
18-12-2013,24:00,4,V,23,V,2.3,V,70,V,0,V
19-12-2013,24:00,,N,22,V,3.4,V,66,V,0,V
20-12-2013,24:00,,N,22,V,4.4,V,59,V,0,V
21-12-2013,24:00,5,V,23,V,4.1,V,54,V,0,V
22-12-2013,24:00,4,V,23,V,1.6,V,60,V,0,V
23-12-2013,24:00,3,V,24,V,1.4,V,65,V,0,V
24-12-2013,24:00,3,V,335,V,0.6,V,68,V,0,V
25-12-2013,24:00,1,V,293,V,0.6,V,59,V,0,V
26-12-2013,24:00,1,V,335,V,2.8,V,68,V,0,V
27-12-2013,24:00,1,V,316,V,1.8,V,63,V,0,V
28-12-2013,24:00,1,V,22,V,4.2,V,72,V,0,V
29-12-2013,24:00,5,V,22,V,5.8,V,51,V,0,V
30-12-2013,24:00,8,V,21,V,2.9,V,65,V,0,V
31-12-2013,24:00,6,V,158,V,1.3,V,58,V,0,V
